Country Code,year,avg_schooling_years,primary_enroll_gross_pct,secondary_enroll_gross_pct,tertiary_enroll_gross_pct,population_total,percent_urban,political_stability,log_gdp_pc_current_usd,join_year,treated,post_join,projects,usd_const_2021,log1p_usd_const_2021,share_amount_estimated,birth_rate_crude_per_1000
AFG,2000,,21.4578495025635,,,20130327.0,18.5581995230666,-2.43896889686584,5.170091824002358,2023.0,1,0,1.0,1283228.36439764,14.0648903995589,0.0,51.491
AFG,2001,,22.1396503448486,14.0404100418091,,20284307.0,18.7412381251552,,4.9395460959663104,2023.0,1,0,2.0,2818330.50091676,14.85165560146912,0.0,49.623
AFG,2002,,73.4013137817383,,,21378117.0,18.9412480133309,-2.03503370285034,5.192701753795908,2023.0,1,0,5.0,17983845.67632935,16.704984506079235,0.0,47.488
AFG,2003,,95.3357467651367,13.959529876709,1.37434995174408,22733049.0,19.1600346409089,-2.19837236404419,5.297672737462982,2023.0,1,0,6.0,17275664.089464568,16.66480942699062,0.0,47.056
AFG,2004,,105.475051879883,19.2143802642822,1.39064002037048,23560654.0,19.3993593959593,-2.29568219184875,5.406111361320887,2023.0,1,0,5.0,73087522.32900919,18.107168230658885,0.0,46.492
AFG,2005,,99.50390625,20.2735099792481,,24404567.0,19.7059095753667,-2.06750988960266,5.541985829931637,2023.0,1,0,3.0,56426067.08996785,17.848441809863424,0.0,44.952
AFG,2006,,102.284866333008,29.523889541626,,25424094.0,20.1104530189181,-2.21913456916809,5.617565522251692,2023.0,1,0,5.0,26648301.685127743,17.098236017434484,0.0,44.087
AFG,2007,,99.3228988647461,28.8154907226562,,25909852.0,20.5906579215423,-2.4133734703064,5.932836927464993,2023.0,1,0,5.0,25230568.41147075,17.043566889188202,0.0,43.831
AFG,2008,,104.445137023926,38.930850982666,,26482622.0,21.1241481349633,-2.69136095046997,5.9473382400541785,2023.0,1,0,5.0,34141491.54400078,17.346023992711235,0.0,42.538
AFG,2009,,99.7054214477539,44.2999496459961,3.93815994262695,27466101.0,21.6885475109053,-2.71142148971558,6.116010673592889,2023.0,1,0,4.0,10031802.715979077,16.121270975871866,0.0,42.162
AFG,2010,,103.48560333252,50.4406204223633,,28284089.0,22.2614799010924,-2.57915186882019,6.330828145182043,2023.0,1,0,5.0,29212629.51833044,17.19011172571248,0.0,41.759
AFG,2011,,101.542083740234,52.4474296569824,3.68686008453369,29347708.0,22.8205691572485,-2.50205969810486,6.409672578756921,2023.0,1,0,5.0,19778020.42006221,16.80008184983617,0.0,40.973
AFG,2012,,106.575317382812,54.372859954834,,30560034.0,23.3434391310979,-2.41856145858765,6.480684134151277,2023.0,1,0,6.0,800289.779076342,13.592730414454875,0.0,40.702
AFG,2013,,107.942840576172,54.8833694458008,,31622704.0,23.8077136743646,-2.51934909820557,6.458474793019239,2023.0,1,0,1.0,0.0,0.0,0.0,40.288
AFG,2014,,109.829452514648,54.2936515808105,8.39764022827148,32792523.0,24.1910166387726,-2.41106843948364,6.439438133724786,2023.0,1,0,6.0,2950061.866423343,14.897337038740917,0.0,39.646
AFG,2015,,106.773551940918,53.1501083374023,,33831764.0,24.4649118421568,-2.56262516975403,6.339600162758528,2023.0,1,0,8.0,32796433.478667893,17.3058303625269,0.0,39.364
AFG,2016,,106.784042358398,53.4350395202637,,34700612.0,24.6588345720126,-2.6621561050415,6.259738651679514,2023.0,1,0,11.0,52722527.60401548,17.780553409906968,0.0,38.732
AFG,2017,,106.54354095459,55.5364303588867,,35688935.0,24.8352821238871,-2.7949755191803,6.266193914715114,2023.0,1,0,14.0,102065701.03121616,18.44112730144193,0.0,38.171
AFG,2018,,107.687660217285,57.3578491210938,9.99592018127441,36743039.0,24.9991645191406,-2.75344133377075,6.199163891020855,2023.0,1,0,14.0,8745640.781685727,15.984066052156647,0.0,37.624
AFG,2019,,109.075309753418,,,37856121.0,25.1437258839803,-2.65253973007202,6.20980157408614,2023.0,1,0,4.0,0.0,0.0,0.0,37.138
AFG,2020,,,,10.85435962677,39068979.0,25.2622103446137,-2.702721118927,6.237908646670804,2023.0,1,0,11.0,12679734.611437527,16.35551565592297,0.4545454545454545,36.601
AFG,2021,,,,,40000412.0,25.3478620272481,-2.51867604255676,5.879124772192372,2023.0,1,0,15.0,61011455.90897336,17.926572222681852,0.2,36.342
BEN,2000,,77.2928009033203,20.0005397796631,3.49604988098144,7221619.0,38.2759517258875,0.799652576446533,6.191184170548615,2018.0,1,0,2.0,46502250.108607605,17.65501128032361,0.0,42.079
BEN,2001,,84.4785537719727,21.7104396820068,4.20038986206055,7445596.0,38.6186257669218,,6.20132324322536,2018.0,1,0,2.0,24303418.68027681,17.00612762599299,0.0,41.695
BEN,2002,2.46291,89.5929565429688,23.5846691131592,4.92833995819092,7675426.0,39.0035069872981,0.82151585817337,6.30529639495699,2018.0,1,0,4.0,68316745.40887006,18.0396654834896,0.0,41.48
BEN,2003,,93.1921081542969,24.9001197814941,5.43203020095825,7913070.0,39.4169696013044,0.679285824298859,6.51767552413556,2018.0,1,0,1.0,0.0,0.0,0.0,41.475
BEN,2004,,96.9871597290039,26.7041492462158,5.47938013076782,8159094.0,39.8525699078742,0.265973478555679,6.632918094979864,2018.0,1,0,5.0,5141569.25779127,15.452869088401211,0.0,41.329
BEN,2005,,94.2145690917969,,5.41120004653931,8426144.0,40.3097749006517,0.449746280908585,6.6598550157696135,2018.0,1,0,6.0,169886696.7170568,18.95064228879801,0.0,41.087
BEN,2006,,94.3325424194336,,6.20295000076294,8693242.0,40.7877794072449,0.547892570495605,6.697215802179801,2018.0,1,0,8.0,7628056.583728999,15.847343794668316,0.0,41.341
BEN,2007,,,,7.43086004257202,8953969.0,41.2857782552618,0.386217623949051,6.817106290832754,2018.0,1,0,4.0,37848293.498924,17.449096477358918,0.0,40.961
BEN,2008,,106.483963012695,,7.34216022491455,9228466.0,41.8029662723105,0.376421362161636,6.967534880359689,2018.0,1,0,5.0,43872283.8286815,17.59679335358882,0.0,40.371
BEN,2009,,111.44181060791,,9.3462495803833,9509423.0,42.338538285999,0.40366667509079,6.932548158332088,2018.0,1,0,6.0,28638555.79467541,17.17026450753967,0.0,39.982
BEN,2010,,112.795959472656,,12.6081895828247,9797484.0,42.8916891239353,0.261260122060776,6.881662047287422,2018.0,1,0,3.0,45264563.7282378,17.62803504876763,0.0,39.77
BEN,2011,,114.723129272461,45.7294692993164,11.8088598251343,10093623.0,43.4616136137276,0.318356364965439,6.966414288861132,2018.0,1,0,5.0,15219974.0790751,16.538119273016388,0.0,39.691
BEN,2012,,118.541481018066,,12.8605403900147,10397657.0,44.0475065829838,0.364367604255676,6.977771740608327,2018.0,1,0,4.0,36666526.47736968,17.41737483900964,0.0,39.706
BEN,2013,,119.383087158203,52.0378494262695,14.7752199172974,10708834.0,44.6502883669319,0.301189363002777,7.064696626522029,2018.0,1,0,8.0,256968707.52322933,19.364464878727592,0.0,39.582
