SUMMARY STATISTICS — CLEAN VERSION FOR LATEX
======================================================================

Full Panel  |  205 countries  |  4,920 obs
------------------------------------------------------------
Variable                                Mean       SD   Miss%
  Birth Rate (per 1,000)               37.35     7.57   23.5%
  Log BRI Investment ($M)              15.25     6.62    0.0%

SSA Never Treated  |  10 countries  |  240 obs
------------------------------------------------------------
Variable                                Mean       SD   Miss%
  Secondary Enrollment Gross (%)       58.53    26.27   43.8%
  Secondary Gross Female (%)           61.37    28.84   45.0%
  Secondary Gross Male (%)             56.53    24.50   45.0%
  Secondary Gender Gap (F-M, pp)        4.84     7.97   45.0%
  Primary Enrollment Gross (%)         99.97    20.85   27.1%
  Primary Gross Female (%)             98.10    21.58   28.7%
  Primary Gross Male (%)              101.44    20.91   28.7%
  Tertiary Enrollment Gross (%)         9.34     8.94   60.8%
  Tertiary Gross Female (%)            11.32    13.70   62.5%
  Tertiary Gross Male (%)               8.22     5.74   62.5%
  Avg Years of Schooling (adults)       5.37     2.59   13.3%
  Female Employment Ratio (%)          42.74    15.15   35.8%
  Youth Employment Ratio (%)           31.70    17.31   35.8%
  Unemployment Rate (%)                12.12     7.65   35.8%
  GDP Growth (Annual %)                 3.64     4.13   25.8%
  GNI per Capita (USD)               3011.74  4150.23   25.8%
  Poverty Headcount $3/day (%)         37.84    23.55   89.6%
  Log GDP per Capita                    7.36     1.09   25.8%
  Urban Population (%)                 41.32    16.41   25.8%
  Birth Rate (per 1,000)               30.72     8.78   30.8%
  Log BRI Investment ($M)               8.39     7.84    0.0%

