Country Code,year,primary_enroll_gross_pct,secondary_enroll_gross_pct,birth_rate_crude_per_1000,usd_const_2021
AFG,2000,21.4578495025635,,51.491,1283228.36439764
AFG,2001,22.1396503448486,14.0404100418091,49.623,2818330.50091676
AFG,2002,73.4013137817383,,47.488,17983845.67632935
AFG,2003,95.3357467651367,13.959529876709,47.056,17275664.089464568
AFG,2004,105.475051879883,19.2143802642822,46.492,73087522.32900919
AFG,2005,99.50390625,20.2735099792481,44.952,56426067.08996785
AFG,2006,102.284866333008,29.523889541626,44.087,26648301.685127743
AFG,2007,99.3228988647461,28.8154907226562,43.831,25230568.41147075
AFG,2008,104.445137023926,38.930850982666,42.538,34141491.54400078
AFG,2009,99.7054214477539,44.2999496459961,42.162,10031802.715979077
AFG,2010,103.48560333252,50.4406204223633,41.759,29212629.51833044
AFG,2011,101.542083740234,52.4474296569824,40.973,19778020.42006221
AFG,2012,106.575317382812,54.372859954834,40.702,800289.779076342
AFG,2013,107.942840576172,54.8833694458008,40.288,0.0
AFG,2014,109.829452514648,54.2936515808105,39.646,2950061.866423343
AFG,2015,106.773551940918,53.1501083374023,39.364,32796433.478667893
AFG,2016,106.784042358398,53.4350395202637,38.732,52722527.60401548
AFG,2017,106.54354095459,55.5364303588867,38.171,102065701.03121616
AFG,2018,107.687660217285,57.3578491210938,37.624,8745640.781685727
AFG,2019,109.075309753418,,37.138,0.0
AFG,2020,,,36.601,12679734.611437527
AFG,2021,,,36.342,61011455.90897336
BEN,2000,77.2928009033203,20.0005397796631,42.079,46502250.108607605
BEN,2001,84.4785537719727,21.7104396820068,41.695,24303418.68027681
BEN,2002,89.5929565429688,23.5846691131592,41.48,68316745.40887006
BEN,2003,93.1921081542969,24.9001197814941,41.475,0.0
BEN,2004,96.9871597290039,26.7041492462158,41.329,5141569.25779127
BEN,2005,94.2145690917969,,41.087,169886696.7170568
BEN,2006,94.3325424194336,,41.341,7628056.583728999
BEN,2007,,,40.961,37848293.498924
BEN,2008,106.483963012695,,40.371,43872283.8286815
BEN,2009,111.44181060791,,39.982,28638555.79467541
BEN,2010,112.795959472656,,39.77,45264563.7282378
BEN,2011,114.723129272461,45.7294692993164,39.691,15219974.0790751
BEN,2012,118.541481018066,,39.706,36666526.47736968
