Country Code,year,primary_net_female,primary_net_male,primary_net_pct,secondary_net_female,secondary_net_male,secondary_net_pct,tertiary_gross_female,tertiary_gross_male,tertiary_gross_pct,secondary_gender_gap,tertiary_gender_gap
ABW,2000,97.82293,98.34398,98.08635,78.86792,74.82148,76.83175,,,,4.046440000000004,
ABW,2001,,,94.53929,74.22901,70.60256,72.41274,35.1515197753906,22.6375198364258,28.8601303100586,3.6264500000000055,12.513999938964798
ABW,2002,94.60751,96.01701,95.31814,79.27661,74.32069,76.8075,34.9056587219238,22.3880596160889,28.5816898345947,4.955920000000006,12.5175991058349
ABW,2003,92.74784,95.10213,93.9307,74.78535,69.89529,72.36007,36.363639831543,24.4956798553467,30.3779106140137,4.890059999999991,11.867959976196296
ABW,2004,92.99585,96.26574,94.63489,73.43448,73.45557,73.44491,36.7873802185059,24.0,30.352689743042,-0.02109000000000094,12.787380218505902
ABW,2005,96.56223,99.04493,97.80506,75.6987,74.53552,75.12471,43.0869293212891,29.2573394775391,36.204231262207,1.163179999999997,13.829589843749996
ABW,2006,,,98.6384,,,,41.0064888000488,27.3535194396973,34.2268714904785,,13.652969360351499
ABW,2007,,,98.86144,81.79688,79.25072,80.52762,40.7372703552246,29.0453796386719,34.8968086242676,2.5461600000000004,11.691890716552702
ABW,2008,,,99.05832,77.85939,71.15534,74.48249,41.1839218139648,29.1421508789062,35.0970611572266,6.704050000000009,12.0417709350586
ABW,2009,97.70515,94.12297,95.89151,80.97252,74.57757,77.72432,40.9134483337402,28.1798591613769,34.4308586120605,6.394950000000009,12.733589172363299
ABW,2010,,,98.91975,,,,42.2370109558105,30.166410446167,36.0625305175781,,12.070600509643498
ABW,2011,,,,80.68243,73.36425,76.94634,45.6057815551758,30.6682205200195,37.8648109436035,7.318179999999998,14.937561035156303
ABW,2012,,,,,,,46.8903884887695,31.407320022583,38.8641815185547,,15.483068466186502
ABW,2013,,,,,,,23.8380794525146,10.8396501541138,17.1258697509766,,12.998429298400799
ABW,2014,,,99.23471,,,,24.8597602844238,11.0083999633789,17.7518997192383,,13.8513603210449
ABW,2015,,,,,,,23.670919418335,10.2443103790283,16.7312393188477,,13.4266090393067
ABW,2016,,,,,,,22.8059902191162,11.6916103363037,17.1416206359863,,11.1143798828125
AFE,2000,,,,,,,3.50468993186951,4.49486017227173,3.99448990821838,,-0.9901702404022203
AFE,2001,,,,,,,3.73327994346619,4.79491996765137,4.2595100402832,,-1.0616400241851798
AFE,2002,,,,,,,3.99998998641968,5.00834989547729,4.5005898475647,,-1.0083599090576096
AFE,2003,,,,,,,4.21983003616333,5.40652990341187,4.8099799156189,,-1.1866998672485396
AFE,2004,,,,,,,4.51276016235352,5.74175977706909,5.12434005737305,,-1.22899961471557
AFE,2005,,,,,,,4.7675199508667,6.02826023101807,5.39512014389038,,-1.2607402801513699
AFE,2006,,,,,,,5.08440017700195,6.27903985977173,5.67903995513916,,-1.1946396827697807
AFE,2007,,,,,,,5.2108302116394,6.45374011993408,5.82964992523193,,-1.2429099082946804
AFE,2008,,,,,,,5.50124979019165,6.94767999649048,6.22163009643555,,-1.44643020629883
AFE,2009,,,,,,,5.97102022171021,7.60516977310181,6.78540992736816,,-1.6341495513915998
