Country Code,year,primary_enroll_gross_pct,secondary_enroll_gross_pct,tertiary_enroll_gross_pct,log_gdp_pc_current_usd,population_total,percent_urban,birth_rate_crude_per_1000,female_emp_ratio,industry_emp_pct,unemployment_pct,youth_emp_ratio,youth_unemp_pct,gdp_growth,gni_per_capita,poverty_3day
ABW,2001,110.349670410156,97.5565338134766,28.8601303100586,9.939825874377222,91439.0,65.3351137913914,13.813,,,,,,4.1820016304779,20340.0,
ABW,2002,115.669448852539,100.163063049316,28.5816898345947,9.966802587262789,92074.0,65.2820691308217,13.337,,,,,,-0.944953481157384,19220.0,
ABW,2003,115.985000610352,101.929069519043,30.3779106140137,9.996499001194364,93128.0,65.1982922587168,13.358,,,,,,1.11050459944282,21020.0,
ABW,2004,117.217170715332,100.940940856934,30.352689743042,10.073256993009021,95138.0,65.0886533661558,12.54,,,,,,7.29372807096192,23610.0,
ABW,2005,116.929039001465,99.2053527832031,36.204231262207,10.092943479602644,97635.0,64.9580226442175,12.936,,,,,,-0.383137672063768,19720.0,
ABW,2006,117.987739562988,99.8657531738281,34.2268714904785,10.120438307352744,99405.0,64.811270283981,13.681,,,,,,1.12741146411624,23920.0,
ABW,2007,116.970039367676,106.236473083496,34.8968086242676,10.19377780613962,100150.0,64.6532664765254,13.38,,,,,,3.0895443848509,22600.0,
ABW,2008,116.013900756836,97.0627517700195,35.0970611572266,10.246080639931197,100917.0,64.4888814129295,13.07,,,,,,1.83575517191368,26780.0,
ABW,2009,117.527481079102,99.1602172851562,34.4308586120605,10.13200747444845,101604.0,64.3229852842726,12.332,,,,,,-11.6777413693852,24340.0,
ABW,2010,119.795837402344,98.2207412719727,36.0625305175781,10.08968243792605,101838.0,64.1612965549477,11.941,,,,,,-2.73345679250639,23050.0,
ABW,2011,106.374038696289,96.633918762207,37.8648109436035,10.154728034253223,102591.0,63.9992605838571,12.175,,,,,,3.36923718421511,23100.0,
ABW,2012,104.07494354248,108.976188659668,38.8641815185547,10.131406306201454,104110.0,63.8252085199599,12.592,,,,,,-1.04079988436683,23970.0,
ABW,2013,114.985320023488,,17.1258697509766,10.15865565744605,105675.0,63.6382914355326,12.548,,,,,,6.43146080719245,24830.0,
ABW,2014,116.261992182873,,17.7518997192383,10.170833199359421,106807.0,63.4392531303795,12.864,,,,,,1.42609864257801,25260.0,
ABW,2015,115.01140867059,,16.7312393188477,10.220420861261761,107906.0,63.2288374043053,11.556,,,,,,3.61147995361162,25430.0,
ABW,2016,113.637463697967,,17.1416206359863,10.219813574940124,108727.0,63.0077880571142,11.625,,,,,,1.23433537363427,25560.0,
ABW,2018,107.985168457031,137.829788208008,,10.311687531562564,108908.0,62.5367636985996,10.807,,,,,,3.21247111920076,27970.0,
ABW,2019,108.025001525879,139.320587158203,,10.330253857414815,109203.0,62.288276286885,10.842,,,,,,1.22511225158814,29320.0,
ABW,2020,107.235336303711,135.124725341797,,10.032751416107375,108587.0,62.0028837566365,9.688,,,,,,-23.8979898352395,22790.0,
ABW,2021,108.599510192871,123.625907897949,,10.194264690675974,107700.0,61.9275339886843,9.461,,,,,,14.7306159219273,26550.0,
ABW,2022,102.620727539062,131.802169799805,,10.34096795495808,107310.0,61.8811657924257,,,,,,,10.6364309604414,30160.0,
AFE,2000,78.7628173828125,27.7371292114258,3.99448990821838,6.560644821973343,406156661.0,28.4686879776452,41.0069580245934,60.1984746275601,10.0998871645076,7.66876829683374,49.2290894962321,15.081758849858,3.18137506041111,656.443571611034,
AFE,2001,81.4848709106445,28.7891101837158,4.2595100402832,6.439075278059647,416807868.0,28.8315061435738,40.7403683554937,60.3021360758967,10.1743561419323,7.55388452430262,49.0299608322475,15.0281441655088,3.50353308518427,628.999015500033,
AFE,2002,83.9098205566406,29.4754505157471,4.5005898475647,6.446532707392202,427820358.0,29.2210306166309,40.4187327770083,60.3734632328553,10.1464669154594,7.51149338877195,48.8443237828765,15.0206694896844,3.91711337379634,615.089323792798,
AFE,2003,87.5231781005859,30.0984306335449,4.8099799156189,6.703718397483704,439173286.0,29.6390356014361,40.1466747369261,60.4450633783426,10.0377915870108,7.4720424200925,48.7002516721194,15.0343721478568,3.00937249317595,666.716164657241,
