Country Code,year,avg_schooling_years,primary_enroll_gross_pct,secondary_enroll_gross_pct,tertiary_enroll_gross_pct,population_total,percent_urban,political_stability,log_gdp_pc_current_usd,join_year,treated,post_join
BRA,1993,,,,,156794577.0,76.6406402906957,,7.762130757137327,,0,0
BRA,1994,,,,,159265006.0,77.1710338911115,,8.101591355516186,,0,0
BRA,1995,,,,,161735073.0,77.7144999942454,,8.467530174881823,,0,0
BRA,1996,,,,,164202549.0,78.3021415455398,-0.220460131764412,8.552585531866548,,0,0
BRA,1997,,,,,166661659.0,79.0008493879259,,8.575537180208633,,0,0
BRA,1998,,,,,169159655.0,79.789068166086,-0.339505791664124,8.538346369429668,,0,0
BRA,1999,,,,,171641543.0,80.5466061325216,,8.158966163741963,,0,0
BRA,2000,,,,,174018282.0,81.1484365423806,0.18410162627697,8.234179634706177,,0,0
BRA,2001,,,,,176301203.0,81.5960450621957,,8.063783832668335,,0,0
BRA,2002,,,,,178503484.0,81.9943491502673,0.327800273895264,7.957506460944124,,0,0
BRA,2003,,,,,180622688.0,82.3540335841671,0.0042139342986047,8.036446264103276,,0,0
BRA,2004,6.03616,,,,182675143.0,82.6816824814559,-0.275992810726166,8.206535216144971,,0,0
BRA,2005,,,,,184688101.0,82.9838799596945,-0.263379752635956,8.482349470294055,,0,0
BRA,2006,6.37938,,,,186653106.0,83.2672101364439,-0.294911116361618,8.688646842307147,,0,0
BRA,2007,6.56554,,,,188552320.0,83.5382571292649,-0.3579480946064,8.91067883652246,,0,0
BRA,2008,6.73979,,,,190367302.0,83.8036050557184,-0.313424706459045,9.094854701131668,,0,0
BRA,2009,6.84159,,,,192079951.0,84.0698380333651,0.163664221763611,9.068737460459255,,0,0
BRA,2010,7.64748,,,,193701929.0,84.343846036308,0.0134759107604623,9.341744353604383,,0,0
BRA,2011,7.08456,,,,195284734.0,84.6225758599683,-0.132575422525406,9.502832829636118,,0,0
BRA,2012,7.29775,104.7822265625,94.3209762573242,43.2308616638184,196876111.0,84.8973874181312,0.0459616407752037,9.435300180531652,,0,0
BRA,2013,7.37406,109.945137023926,103.917686462402,44.3393707275391,198478299.0,85.1676585442726,-0.258553296327591,9.430269991312546,,0,0
BRA,2014,7.46925,110.316467285156,102.635528564453,47.1568717956543,200085127.0,85.4331367898168,-0.070290133357048,9.415400940260636,,0,0
BRA,2015,7.59973,109.152191162109,100.920516967773,48.4340400695801,201675532.0,85.6935697061881,-0.331864446401596,9.09797712644396,,0,0
BRA,2016,7.73256,108.757843017578,102.56950378418,48.3333396911621,203218114.0,85.9487048448108,-0.381035059690475,9.086735033843052,,0,0
BRA,2017,7.8533,109.80850982666,103.015960693359,50.0267486572266,204703445.0,86.1982897571091,-0.479947566986084,9.218458120941992,,0,0
BRA,2018,7.9813,108.623291015625,105.00707244873,51.1916885375977,206107261.0,86.4420719945072,-0.459598511457443,9.137948236214145,,0,0
BRA,2019,,107.40747833252,103.953277587891,52.6240615844727,207455459.0,86.6797991084296,-0.714224636554718,9.108399895091848,,0,0
BRA,2020,,105.498199462891,104.125999450684,54.572811126709,208660842.0,86.9112186503004,-0.44689092040062,8.864350153224551,,0,0
BRA,2021,,103.4716796875,106.651893615723,56.8306198120117,209550294.0,87.1360781715439,-0.419879764318466,8.9838834576331,,0,0
BRA,2022,,103.970321655273,106.031188964844,60.3906211853027,210306415.0,87.349556243881,-0.395036935806274,9.135868175802182,,0,0
BRA,2023,,,,,211140729.0,87.6159710235763,-0.408567786216736,9.247500287366694,,0,0
BRA,2024,,,,,211998573.0,87.8958549533146,,9.24101979635958,,0,0
BRB,1990,,112.135269165039,88.8083190917969,18.1553592681885,258582.0,63.5586463259898,,8.95962078956155,2019.0,1,0
BRB,1991,,,,28.3673095703125,259373.0,63.5402778588977,,8.96075816609603,2019.0,1,0
BRB,1992,,106.883140563965,,29.5495491027832,260267.0,63.4960325310869,,8.925348203213984,2019.0,1,0
BRB,1993,,,,27.2394599914551,261027.0,63.428796531611,,8.975340261673164,2019.0,1,0
BRB,1994,,,,,261620.0,63.3412978875224,,9.01483227102732,2019.0,1,0
BRB,1995,,,,,262039.0,63.2362646258735,,9.043278646492766,2019.0,1,0
BRB,1996,,,,,262284.0,63.1164247737166,1.05037176609039,9.106398721296229,2019.0,1,0
BRB,1997,,,,,262392.0,62.984506358104,,9.161420183099883,2019.0,1,0
BRB,1998,,,,,262436.0,62.843237406088,1.08426582813263,9.281298591833764,2019.0,1,0
BRB,1999,,103.175331115723,109.671096801758,36.0569381713867,262517.0,62.695345944721,,9.32770632216133,2019.0,1,0
BRB,2000,8.99301,102.616241455078,107.564750671387,41.9254302978516,262063.0,62.5379397803044,1.15119981765747,9.365262780844802,2019.0,1,0
BRB,2001,,104.42259979248,108.259826660156,41.2074584960938,262425.0,62.3048911059175,,9.362247054684596,2019.0,1,0
BRB,2002,,103.545349121094,107.798782348633,,264148.0,61.965577912278,1.09719908237457,9.372582723486923,2019.0,1,0
BRB,2003,,104.487609863281,107.189636230469,,265776.0,61.5543861265895,0.918948590755463,9.399054676717066,2019.0,1,0
BRB,2004,,102.365783691406,108.061492919922,,267298.0,61.101971231796,1.09435272216797,9.4640027715109,2019.0,1,0
BRB,2005,,101.593612670898,108.776031494141,,268706.0,60.6389887108416,1.11291885375977,9.5620825854742,2019.0,1,0
BRB,2006,,101.276039123535,107.878128051758,,270002.0,60.1960940466703,0.91321188211441,9.656345873073883,2019.0,1,0
BRB,2007,,100.212989807129,109.740669250488,60.2387390136719,271288.0,59.803942722226,1.04420638084412,9.754781005690448,2019.0,1,0
BRB,2008,,100.470497131348,110.919006347656,,272714.0,59.4931902204528,1.06835830211639,9.773759944744048,2019.0,1,0
BRB,2009,,99.8023910522461,110.282241821289,74.2060775756836,274123.0,59.2944920242948,1.04774069786072,9.698669431945335,2019.0,1,0
BRB,2010,,100.026486558072,107.682540893555,69.5953279239237,275243.0,59.2366008990356,1.06063663959503,9.933605182688552,2019.0,1,0
BRB,2011,,100.607875564296,107.300071716309,66.9463967271583,276139.0,59.236693205614,1.24613010883331,9.928626401208769,2019.0,1,0
BRB,2012,,,,70.0289730657796,276938.0,59.2372151062924,1.18596565723419,9.94295414894175,2019.0,1,0
BRB,2013,,,,73.1807704972012,277665.0,59.2385370835674,1.26692914962769,9.923839369385252,2019.0,1,0
BRB,2014,,96.4334517627767,108.186309814453,71.2682628742848,278348.0,59.2410313429534,1.2779198884964,9.913126369932415,2019.0,1,0
BRB,2015,,95.4051834276328,108.196029663086,57.2814457564167,278990.0,59.2450700899645,1.11682772636414,9.924525140141183,2019.0,1,0
BRB,2016,,95.319325026438,108.310737609863,52.0533712473342,279598.0,59.2510255301153,0.960008144378662,9.918207047636969,2019.0,1,0
BRB,2017,,94.3660015740012,109.804237365723,51.0106696691866,280171.0,59.25926986892,0.952525317668915,9.917665380721274,2019.0,1,0
BRB,2018,,94.4722209242559,108.216751098633,45.8751983077737,280711.0,59.270175311893,0.900694906711578,9.970316072919076,2019.0,1,0
BRB,2019,,94.7561440274338,106.086326599121,48.935497470489,281207.0,59.2841140645486,1.03293108940125,9.994842197895393,2019.0,1,1
BRB,2020,,94.5134829805,104.318992614746,52.971630831,281698.0,59.3014583324011,1.12065994739532,9.862430737409854,2019.0,1,1
BRB,2021,,92.7709032613596,103.569473266602,54.672,282147.0,59.3220365433819,1.11857044696808,9.956109154373603,2019.0,1,1
BRB,2022,,90.1875316776483,104.222328186035,55.0600902713579,282318.0,59.3538514107686,1.14464545249939,10.101848075076967,2019.0,1,1
BRB,2023,,88.0075687838805,102.513702392578,54.2600399378744,282336.0,59.4235740235775,1.18712854385376,10.149756783402172,2019.0,1,1
BRB,2024,,83.9370240790286,104.371182990274,53.5815662047086,282467.0,59.5397032429174,,10.186629486448613,2019.0,1,1
BRN,1990,,,,,255292.0,65.7496054461515,,10.071529160835048,2018.0,1,0
BRN,1991,,116.419471740723,77.1070175170898,,262596.0,66.5029745122162,,10.083021466133978,2018.0,1,0
BRN,1992,,114.441062927246,78.6126480102539,5.49680995941162,269839.0,67.1218123459373,,10.062706640776222,2018.0,1,0
BRN,1993,,115.30525970459,80.1648178100586,5.81064987182617,276971.0,67.7094708825572,,10.0167302406071,2018.0,1,0
BRN,1994,,115.403518676758,79.5582427978516,6.15674018859863,284091.0,68.272763683326,,10.03309318844859,2018.0,1,0
BRN,1995,,113.287490844727,,,291195.0,68.8131879002755,,10.182794267191465,2018.0,1,0
BRN,1996,,111.854377746582,,,298276.0,69.3322406854373,1.23704397678375,10.153983035261495,2018.0,1,0
BRN,1997,,110.213897705078,,,305341.0,69.8314191908431,,10.14735085962426,2018.0,1,0
BRN,1998,,113.108619689941,80.8910598754883,10.6331796646118,312385.0,70.3122205685247,1.11163866519928,9.785280784034835,2018.0,1,0
BRN,1999,,113.262153625488,83.0422592163086,13.0251398086548,319411.0,70.7761419705137,,9.891070849626834,2018.0,1,0
BRN,2000,,112.037879943848,82.8583526611328,13.4959297180176,326424.0,71.2246805488418,1.30202329158783,9.910028972454167,2018.0,1,0
BRN,2001,,110.13542175293,84.982307434082,14.6684103012085,333345.0,71.657883335906,,9.814045618399136,2018.0,1,0
BRN,2002,,112.115310668945,86.768928527832,14.1154699325562,340099.0,72.1021556496525,1.15553212165833,9.83211465054466,2018.0,1,0
BRN,2003,,116.92626953125,87.8041305541992,14.257490158081,346637.0,72.577635652792,1.14442586898804,9.936869141246568,2018.0,1,0
BRN,2004,,119.105339050293,90.8928298950195,15.1707801818848,352911.0,73.0675067339261,1.36943471431732,10.10332541172274,2018.0,1,0
BRN,2005,,119.844757080078,93.6873092651367,15.2498598098755,358916.0,73.552870858133,1.21265983581543,10.288316879369436,2018.0,1,0
BRN,2006,,121.505966186523,97.5592575073242,15.2068796157837,364663.0,74.0148299904911,1.12335515022278,10.45379730255658,2018.0,1,0
BRN,2007,,122.321258544922,98.3408584594727,15.4847002029419,370873.0,74.4344860960786,1.10710692405701,10.497320597590305,2018.0,1,0
BRN,2008,,116.783126831055,98.7723617553711,15.7385101318359,377793.0,74.7929411399737,1.12561905384064,10.649169510391554,2018.0,1,0
BRN,2009,,112.532432556152,100.720039367676,16.5658493041992,384952.0,75.0712970872547,1.38712668418884,10.340046445277704,2018.0,1,0
BRN,2010,,108.70580714953,101.011688232422,15.3331563578444,392332.0,75.2506559029998,1.27754700183868,10.46134624155458,2018.0,1,0
BRN,2011,11.57398,104.830894583323,102.111122131348,17.4270912772504,399389.0,75.312125504778,1.08519375324249,10.7447061305943,2018.0,1,0
BRN,2012,,103.310538143682,105.229759216309,22.0733483384086,405557.0,75.2714233503027,0.909327208995819,10.757255801519747,2018.0,1,0
BRN,2013,,103.895142180095,102.392692565918,23.4649239797279,411202.0,75.1756915148608,1.07402229309082,10.692037281983016,2018.0,1,0
BRN,2014,,103.847709576297,96.2848663330078,30.0799102783203,416750.0,75.0572639801502,1.26150703430176,10.621998057898852,2018.0,1,0
BRN,2015,,104.185794604632,92.8161697387695,28.6641292572021,422212.0,74.9484620568562,1.23371255397797,10.329608805109524,2018.0,1,0
BRN,2016,,105.726377387079,90.0986175537109,28.6644096374512,427564.0,74.8816070556641,1.14201784133911,10.191080769605144,2018.0,1,0
BRN,2017,,104.567053854277,88.6814727783203,31.2433910195239,432772.0,74.8476440654983,1.15342676639557,10.240865894877578,2018.0,1,0
BRN,2018,,104.179996298549,89.1818084716797,27.9285989469629,437810.0,74.8172471714305,1.23603785037994,10.34139142271469,2018.0,1,1
BRN,2019,,103.033008586959,88.2910308837891,27.7715019255456,442680.0,74.7923311783673,1.11108720302582,10.32310448504902,2018.0,1,1
BRN,2020,,102.709633966272,86.6857810342997,29.1961193084717,447404.0,74.7748108912151,1.18808400630951,10.197475670897122,2018.0,1,1
BRN,2021,,101.387926832397,89.5956009698649,27.4258937503291,451721.0,74.7667316936175,1.17180991172791,10.341999341733745,2018.0,1,1
BRN,2022,,99.134912983916,89.8513650597627,31.1925368707703,455370.0,74.7772642014221,1.24248862266541,10.508730087129992,2018.0,1,1
BRN,2023,,96.9292188716198,91.8381544399811,36.4182725443167,458949.0,74.8199193881365,1.36600065231323,10.400971039965054,2018.0,1,1
BRN,2024,,,,,462721.0,74.8983133873697,,10.408932945522984,2018.0,1,1
BTN,1990,,,,,589287.0,20.2026044413832,,6.193031859419575,,0,0
BTN,1991,,46.4366989135742,,,599784.0,20.9743969269355,,5.995542981942253,,0,0
BTN,1992,,45.327579498291,,,577774.0,21.739998525685,,6.0325861509051775,,0,0
BTN,1993,,54.5066108703613,,,554673.0,22.4989891092786,,6.012246700630715,,0,0
BTN,1994,,57.220531463623,,,554497.0,23.250948549363,,6.148486056711382,,0,0
BTN,1995,,62.3229904174805,,,547989.0,23.9954567175851,,6.27495725063432,,0,0
BTN,1996,,68.2794494628906,,,548784.0,24.7320934855918,0.724004507064819,6.316937027989654,,0,0
BTN,1997,,71.6688079833984,,,558697.0,25.4604387250299,,6.448014660647873,,0,0
BTN,1998,,73.8227310180664,23.7952499389648,,569435.0,26.1800723075463,0.539632081985474,6.460340919849099,,0,0
BTN,1999,,75.6812210083008,27.1374893188477,2.69045996665955,582579.0,26.8905741047879,,6.531489438532306,,0,0
BTN,2000,,77.8631820678711,30.5185794830322,,596863.0,27.5915239884015,0.491936683654785,6.650181904684913,,0,0
BTN,2001,,79.7490081787109,33.8684310913086,,610794.0,28.282501830034,,6.701024068810706,,0,0
BTN,2002,,81.8688430786133,,,624409.0,28.9630875013322,0.693675577640533,6.798832302992146,,0,0
