Country Code,year,primary_enroll_gross_pct,secondary_enroll_gross_pct,tertiary_enroll_gross_pct,log_gdp_pc_current_usd,population_total,percent_urban,birth_rate_crude_per_1000,female_emp_ratio,industry_emp_pct,unemployment_pct,youth_emp_ratio,youth_unemp_pct,gdp_growth,gni_per_capita,poverty_3day,primary_net_female,primary_net_male,primary_net_pct,secondary_net_female,secondary_net_male,secondary_net_pct,tertiary_gross_female_x,tertiary_gross_male_x,tertiary_gross_pct,secondary_gender_gap,tertiary_gender_gap,primary_gross_female,primary_gross_male,secondary_gross_female,secondary_gross_male,tertiary_gross_female_y,tertiary_gross_male_y,secondary_gender_gap_gross,primary_gender_gap_gross,tertiary_gender_gap_gross,Region,IncomeGroup,treat_year,treat_year_250m,treat_year_1b,treat_year_edu,treat_500m,post_500m,rel_time,treat_edu,post_edu,rel_time_edu,log1p_usd_const_2023,log1p_Education,log1p_Transport,log1p_Energy,log1p_Health,log1p_Industry,avg_years_schooling
ABW,2000,,,,,,,,,,,,,,,,97.82293,98.34398,98.08635,78.86792,74.82148,76.83175,,,,4.046440000000004,,,,,,,,,,,Latin America & Caribbean,High income,,,,,0,0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,
ABW,2001,110.349670410156,97.5565338134766,28.8601303100586,9.939825874377222,91439.0,65.3351137913914,13.813,,,,,,4.1820016304779,20340.0,,,,94.53929,74.22901,70.60256,72.41274,35.1515197753906,22.6375198364258,28.8601303100586,3.6264500000000055,12.513999938964798,108.178176879883,112.488388061523,98.6474304199219,96.4439010620117,35.1515197753906,22.6375198364258,2.203529357910199,-4.31021118164,12.513999938964798,Latin America & Caribbean,High income,,,,,0,0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,
ABW,2002,115.669448852539,100.163063049316,28.5816898345947,9.966802587262787,92074.0,65.2820691308217,13.337,,,,,,-0.944953481157384,19220.0,,94.60751,96.01701,95.31814,79.27661,74.32069,76.8075,34.9056587219238,22.3880596160889,28.5816898345947,4.955920000000006,12.5175991058349,112.701797485352,118.579742431641,102.293441772461,97.9970092773438,34.9056587219238,22.3880596160889,4.2964324951171875,-5.8779449462889914,12.5175991058349,Latin America & Caribbean,High income,,,,,0,0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,
ABW,2003,115.985000610352,101.929069519043,30.3779106140137,9.996499001194364,93128.0,65.1982922587168,13.358,,,,,,1.11050459944282,21020.0,,92.74784,95.10213,93.9307,74.78535,69.89529,72.36007,36.363639831543,24.4956798553467,30.3779106140137,4.890059999999991,11.867959976196296,112.163436889648,119.748779296875,104.977783203125,98.8703918457031,36.363639831543,24.4956798553467,6.107391357421903,-7.585342407227003,11.867959976196296,Latin America & Caribbean,High income,,,,,0,0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,
ABW,2004,117.217170715332,100.940940856934,30.352689743042,10.07325699300902,95138.0,65.0886533661558,12.54,,,,,,7.29372807096192,23610.0,,92.99585,96.26574,94.63489,73.43448,73.45557,73.44491,36.7873802185059,24.0,30.352689743042,-0.0210900000000009,12.787380218505902,114.564247131348,119.765342712402,101.585006713867,100.290870666504,36.7873802185059,24.0,1.294136047362997,-5.201095581054005,12.787380218505902,Latin America & Caribbean,High income,,,,,0,0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,
ABW,2005,116.929039001465,99.2053527832031,36.204231262207,10.092943479602644,97635.0,64.9580226442175,12.936,,,,,,-0.383137672063768,19720.0,,96.56223,99.04493,97.80506,75.6987,74.53552,75.12471,43.0869293212891,29.2573394775391,36.204231262207,1.163179999999997,13.829589843749996,114.752197265625,119.042266845703,100.781471252441,97.6323089599609,43.0869293212891,29.2573394775391,3.1491622924800993,-4.290069580077997,13.829589843749996,Latin America & Caribbean,High income,,,,,0,0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,
ABW,2006,117.987739562988,99.8657531738281,34.2268714904785,10.120438307352744,99405.0,64.811270283981,13.681,,,,,,1.12741146411624,23920.0,,,,98.6384,,,,41.0064888000488,27.3535194396973,34.2268714904785,,13.6529693603515,116.870246887207,119.073196411133,100.671501159668,99.0606536865234,41.0064888000488,27.3535194396973,1.6108474731446023,-2.2029495239259944,13.652969360351499,Latin America & Caribbean,High income,,,,,0,0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,
ABW,2007,116.970039367676,106.236473083496,34.8968086242676,10.19377780613962,100150.0,64.6532664765254,13.38,,,,,,3.0895443848509,22600.0,,,,98.86144,81.79688,79.25072,80.52762,40.7372703552246,29.0453796386719,34.8968086242676,2.5461600000000004,11.691890716552702,115.377548217773,118.516036987305,108.43962097168,104.046401977539,40.7372703552246,29.0453796386719,4.3932189941409945,-3.138488769532003,11.691890716552702,Latin America & Caribbean,High income,,,,,0,0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,
ABW,2008,116.013900756836,97.0627517700195,35.0970611572266,10.246080639931195,100917.0,64.4888814129295,13.07,,,,,,1.83575517191368,26780.0,,,,99.05832,77.85939,71.15534,74.48249,41.1839218139648,29.1421508789062,35.0970611572266,6.704050000000009,12.0417709350586,113.528038024902,118.459770202637,100.322486877441,93.8445205688477,41.1839218139648,29.1421508789062,6.477966308593295,-4.931732177735,12.0417709350586,Latin America & Caribbean,High income,,,,,0,0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,
ABW,2009,117.527481079102,99.1602172851562,34.4308586120605,10.13200747444845,101604.0,64.3229852842726,12.332,,,,,,-11.6777413693852,24340.0,,97.70515,94.12297,95.89151,80.97252,74.57757,77.72432,40.9134483337402,28.1798591613769,34.4308586120605,6.394950000000009,12.7335891723633,114.756820678711,120.277908325195,100.752082824707,97.5919570922852,40.9134483337402,28.1798591613769,3.160125732421804,-5.5210876464840055,12.733589172363299,Latin America & Caribbean,High income,,,,,0,0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,
ABW,2010,119.795837402344,98.2207412719727,36.0625305175781,10.08968243792605,101838.0,64.1612965549477,11.941,,,,,,-2.73345679250639,23050.0,,,,98.91975,,,,42.2370109558105,30.166410446167,36.0625305175781,,12.070600509643498,117.757690429688,121.813781738281,100.190170288086,96.3099594116211,42.2370109558105,30.166410446167,3.8802108764649006,-4.056091308592997,12.070600509643498,Latin America & Caribbean,High income,,,,,0,0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,
