Country Code,year,avg_schooling_years,primary_enroll_gross_pct,secondary_enroll_gross_pct,tertiary_enroll_gross_pct,population_total,percent_urban,political_stability,log_gdp_pc_current_usd,join_year,treated,post_join,projects,usd_const_2021,log1p_usd_const_2021,share_amount_estimated
FCS,2009,,89.0061416625977,41.1768112182617,15.4442901611328,772015937.0,41.220435396797,,7.461699491426929,,0,0,0.0,0.0,0.0,0.0
FCS,2010,,89.3328399658203,42.8060913085938,15.5230598449707,791371804.0,41.5202413921498,,7.610143337895716,,0,0,0.0,0.0,0.0,0.0
FCS,2011,,91.225959777832,43.6493911743164,15.5898895263672,810972272.0,41.8692557467305,,7.6278928231434495,,0,0,0.0,0.0,0.0,0.0
FCS,2012,,92.5065307617188,44.7178115844727,15.4469995498657,831065598.0,42.3328926527057,,7.711605718483017,,0,0,0.0,0.0,0.0,0.0
FCS,2013,,92.8014984130859,46.222728729248,15.3281497955322,851404936.0,42.8504276933508,,7.670994963095556,,0,0,0.0,0.0,0.0,0.0
FCS,2014,,92.2900924682617,44.3626899719238,15.5115299224853,871345375.0,43.2205442598504,,7.626836465839928,,0,0,0.0,0.0,0.0,0.0
FCS,2015,,90.6384201049805,44.572509765625,15.0761098861694,890869511.0,43.5210484941133,,7.417076973176442,,0,0,0.0,0.0,0.0,0.0
FCS,2016,,91.2448425292969,44.1275482177734,14.7394104003906,910836458.0,43.8128075913534,,7.307926936910607,,0,0,0.0,0.0,0.0,0.0
FCS,2017,,92.0168609619141,44.7863807678223,14.7340002059937,931222867.0,44.1056109363171,,7.346403377345486,,0,0,0.0,0.0,0.0,0.0
FCS,2018,,93.2115707397461,45.3343811035156,14.6939496994019,951851595.0,44.3906825236549,,7.399966520367151,,0,0,0.0,0.0,0.0,0.0
FCS,2019,,94.3430786132812,45.9021492004395,14.5780601501465,973035228.0,44.653472474234,,7.52975725802355,,0,0,0.0,0.0,0.0,0.0
FCS,2020,,95.4652328491211,46.512809753418,,994901090.0,44.9346292149919,,7.389860268081142,,0,0,0.0,0.0,0.0,0.0
FCS,2021,,94.550651550293,47.081901550293,,1016906998.0,45.2430817899977,,7.4456519271889725,,0,0,0.0,0.0,0.0,0.0
FIN,2000,,99.7170867919922,125.493049621582,82.5875015258789,5176209.0,67.1227685349539,1.72011208534241,10.099749920925008,,0,0,0.0,0.0,0.0,0.0
FIN,2001,,99.688591003418,128.174865722656,85.9510498046875,5188008.0,67.4982392821958,,10.125278309107044,,0,0,0.0,0.0,0.0,0.0
FIN,2002,,99.6447677612305,129.487838745117,86.788932800293,5200598.0,67.7951641569199,1.7531840801239,10.20323612832224,,0,0,0.0,0.0,0.0,0.0
FIN,2003,12.49063,99.689567565918,132.235412597656,88.286979675293,5213014.0,68.0425549126858,1.6870174407959,10.401868634783517,,0,0,0.0,0.0,0.0,0.0
FIN,2004,,99.7934265136719,110.782669067383,90.1379318237305,5228172.0,68.2766596767133,1.61962687969208,10.53924747184263,,0,0,0.0,0.0,0.0,0.0
