Country Code,year,birth_rate_crude_per_1000
LDC,2000,39.1759192543106
LMY,2000,24.40458046842
LIC,2000,42.5445849844991
LMC,2000,29.9650445603147
MEA,2000,29.5966344581709
MNA,2000,29.9816810075306
TMN,2000,29.9123311146721
MIC,2000,23.1014308828969
NAC,2000,14.0368537272308
INX,2000,
OED,2000,13.8117011518988
OSS,2000,22.1735367079346
PSS,2000,29.4166408082363
PST,2000,11.6132590935026
PRE,2000,43.874574933349
SST,2000,22.5727495645238
SAS,2000,27.6664748563005
TSA,2000,27.6664748563005
SSF,2000,41.956351161065
SSA,2000,41.5602593961934
TSS,2000,41.956351161065
UMC,2000,16.9298676157619
WLD,2000,22.079260051551
AFG,2001,49.623
ALB,2001,16.596
DZA,2001,19.405
ASM,2001,28.79
AND,2001,11.405
AGO,2001,46.771
ATG,2001,17.973
ARG,2001,18.94
ARM,2001,10.0
ABW,2001,13.813
AUS,2001,12.7
AUT,2001,9.4
AZE,2001,13.6
BHS,2001,16.787
BHR,2001,19.082
BGD,2001,29.174
BRB,2001,15.053
BLR,2001,9.2
BEL,2001,11.2
BLZ,2001,29.412
BEN,2001,41.695
BMU,2001,13.356
BTN,2001,23.865
BOL,2001,29.12
BIH,2001,9.977
BWA,2001,27.907
BRA,2001,19.185
VGB,2001,11.724
BRN,2001,19.298
BGR,2001,8.5
BFA,2001,44.907
BDI,2001,43.035
CPV,2001,26.762
KHM,2001,28.11
CMR,2001,40.669
CAN,2001,10.8
CYM,2001,15.211
CAF,2001,41.95
TCD,2001,51.241
CHI,2001,11.1
CHL,2001,15.914
CHN,2001,13.38
COL,2001,21.722
COM,2001,35.089
COD,2001,44.977
COG,2001,37.087
CRI,2001,19.408
CIV,2001,43.902
HRV,2001,9.2
CUB,2001,12.424
CUW,2001,16.374
CYP,2001,12.045
CZE,2001,8.9
DNK,2001,12.2
DJI,2001,33.267
DMA,2001,18.017
DOM,2001,25.069
ECU,2001,25.142
EGY,2001,27.252
SLV,2001,25.826
GNQ,2001,40.426
ERI,2001,36.353
EST,2001,9.1
SWZ,2001,32.44
ETH,2001,44.987
FRO,2001,13.7
FJI,2001,24.272
FIN,2001,10.8
FRA,2001,13.1
PYF,2001,20.782
GAB,2001,33.228
GMB,2001,40.517
GEO,2001,12.248
DEU,2001,8.9
GHA,2001,35.62
GIB,2001,14.107
GRC,2001,9.4
GRL,2001,16.7
GRD,2001,17.283
GUM,2001,21.96
GTM,2001,34.156
GIN,2001,41.318
GNB,2001,41.794
GUY,2001,25.039
HTI,2001,31.278
HND,2001,33.357
HKG,2001,7.2
HUN,2001,9.5
ISL,2001,14.4
IND,2001,27.206
IDN,2001,21.386
IRN,2001,15.935
IRQ,2001,35.547
IRL,2001,15.0
IMN,2001,12.39
ISR,2001,21.2
ITA,2001,9.4
JAM,2001,19.675
JPN,2001,9.3
JOR,2001,28.516
KAZ,2001,15.939
KEN,2001,40.188
KIR,2001,30.524
PRK,2001,16.894
KOR,2001,11.7
XKX,2001,18.58
KWT,2001,22.274
KGZ,2001,19.8
LAO,2001,32.112
LVA,2001,8.4
LBN,2001,21.056
LSO,2001,28.716
LBR,2001,42.571
LBY,2001,22.057
LIE,2001,12.1
LTU,2001,9.0
LUX,2001,12.4
MAC,2001,7.5
MDG,2001,41.116
MWI,2001,44.179
MYS,2001,21.401
MDV,2001,19.105
MLI,2001,47.14
MLT,2001,10.1
MHL,2001,37.834
MRT,2001,37.983
MUS,2001,16.5
MEX,2001,23.779
FSM,2001,31.445
MDA,2001,11.68
MCO,2001,12.561
MNG,2001,20.257
MNE,2001,14.6
MAR,2001,22.087
MOZ,2001,43.073
MMR,2001,23.06
NAM,2001,30.481
NRU,2001,27.945
NPL,2001,29.777
NLD,2001,12.6
NCL,2001,20.304
NZL,2001,14.36
NIC,2001,27.034
NER,2001,53.015
NGA,2001,43.934
MKD,2001,13.3
MNP,2001,23.055
NOR,2001,12.6
OMN,2001,23.255
PAK,2001,35.71
PLW,2001,14.479
PAN,2001,23.22
PNG,2001,34.214
PRY,2001,25.933
PER,2001,23.028
PHL,2001,29.145
POL,2001,9.6
PRT,2001,10.9
PRI,2001,14.59
QAT,2001,17.59
ROU,2001,10.0
RUS,2001,9.0
RWA,2001,42.113
WSM,2001,31.254
