Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Kazakhstan,KAZ,15.828,15.939,16.423,17.516,18.691,19.43,20.462,21.533,22.714,22.413,22.615,22.489,22.643,22.646,23.017,22.513,22.34,21.435,21.702,21.424,22.57,23.271
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Kenya,KEN,40.238,40.188,39.938,39.459,39.1,38.783,38.492,38.299,37.851,37.169,36.266,35.009,33.674,32.427,31.542,30.908,30.202,29.602,29.037,28.226,27.782,27.611
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Kiribati,KIR,31.498,30.524,29.414,28.58,28.894,29.181,29.738,30.347,30.831,31.084,31.247,31.427,30.798,30.046,29.313,28.858,28.508,28.275,28.112,27.826,27.355,26.909
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Korea, Dem. People's Rep.",PRK,17.521,16.894,16.05,15.318,14.599,13.903,14.021,13.856,13.923,13.403,13.294,13.273,13.316,13.357,13.411,13.423,13.458,13.474,13.427,13.405,13.391,13.267
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Korea, Rep.",KOR,13.5,11.7,10.3,10.2,9.8,9,9.2,10.1,9.4,9,9.4,9.4,9.6,8.6,8.6,8.6,7.9,7,6.4,5.9,5.3,5.1
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Kosovo,XKX,18.117,18.58,19.037,18.83,19.519,20.077,19.688,19.453,19.733,19.623,18.83,17.137,16.516,16.453,15.797,14.723,13.172,12.962,12.736,12.618,12.335,12.546
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Kuwait,KWT,22.39,22.274,22.253,22.404,22.641,22.315,21.495,20.624,19.956,19.484,18.876,18.058,17.754,16.818,16.712,15.391,14.662,14.256,12.825,12.06,11.6919249210071,12.234184852521
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Kyrgyz Republic,KGZ,19.8,19.8,20.2,20.9,21.5,21.3,23.1,23.4,23.9,25.2,26.8,27.1,27.6,27.2,27.7,27.4,26,24.8,27.1,26.9,24,22.4
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Lao PDR,LAO,32.901,32.112,31.18,30.66,30.075,28.788,28.365,28.124,27.882,27.569,27.195,26.777,26.174,25.623,25.049,24.962,24.567,24.117,23.599,23.151,22.618,22.147
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Latvia,LVA,8.6,8.4,8.7,9.2,9.1,9.8,10.3,10.9,11.2,10.3,9.4,9.1,9.8,10.2,10.9,11.1,11.2,10.7,10,9.8,9.2,9.2
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Lebanon,LBN,21.306,21.056,20.624,20.002,19.347,18.668,18.27,17.945,17.793,17.99,18.605,19.033,18.962,18.016,18.812,19.555,19.197,18.648,18.09,17.622,16.912,16.573
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Lesotho,LSO,28.248,28.716,29.365,29.294,28.736,28.561,28.627,29.484,29.642,29.354,29.163,30.209,30.027,29.988,29.5,29.178,28.932,28.241,27.361,26.44,25.628,24.896
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Liberia,LBR,43.238,42.571,42.001,42.001,41.116,40.619,40.842,40.397,39.663,38.81,37.967,36.93,37.426,36.234,35.221,34.343,33.926,33.384,32.955,32.431,31.923,31.524
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Libya,LBY,21.691,22.057,22.497,22.92,23.376,23.903,23.931,23.712,23.437,23.155,23.545,24.905,22.587,22.54,22.623,21.921,21.252,20.511,19.844,19.241,18.737,18.176
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Liechtenstein,LIE,12.9,12.1,11.7,10.2,10.8,11,10.3,10,9.9,11.4,9.1,10.9,9.7,9.2,10,8.7,10,8.9,9.9,9.2,9.1,9.6
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Lithuania,LTU,9.8,9,8.6,8.8,8.8,8.9,9.1,9.3,9.9,10.2,9.9,10,10,9.7,10,10.3,10.3,9.8,9.5,8.9,8.4,8.3
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Luxembourg,LUX,13.1,12.4,12,11.7,11.9,11.5,11.7,11.4,11.5,11.3,11.6,10.9,11.3,11.3,10.9,10.7,10.4,10.4,10.3,10,10.2,10.5
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Macao SAR, China",MAC,8.9,7.5,7.2,7.2,7.3,7.8,8.1,8.7,8.7,8.9,9.5,10.6,12.9,11.1,11.8,11,11,10.1,9,8.9,8.1,7.4
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Madagascar,MDG,42,41.116,40.202,39.513,38.976,38.446,38.007,37.754,37.537,37.396,36.746,35.751,35.061,34.672,34.18,33.771,33.613,33.592,33.651,33.594,33.31,32.911
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Malawi,MWI,44.572,44.179,43.955,43.907,43.965,44.003,43.755,43.274,42.564,41.745,40.686,39.69,38.564,37.722,36.503,35.296,34.225,33.682,33.227,32.902,32.536,32.066
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Malaysia,MYS,22.603,21.401,20.089,19.55,18.682,17.94,17.395,17.091,17.356,17.29,16.906,17.186,17.002,16.761,16.724,16.336,15.789,15.329,14.808,14.233,13.393,12.385
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Maldives,MDV,19.916,19.105,18.666,18.448,18.326,18.322,18.819,19.955,20.904,21.267,20.889,20.401,19.774,18.803,17.76,16.664,15.512,14.342,13.395,12.597,12.112,11.694
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Mali,MLI,47.091,47.14,47.348,47.566,47.774,47.891,47.602,47.394,47.203,47.015,46.892,46.477,46.279,45.461,44.983,44.474,43.911,43.444,42.585,41.139,40.959,40.707
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Malta,MLT,11.3,10.1,9.9,10.2,9.7,9.6,9.3,9.3,9.8,9.8,9.4,10,9.8,9.5,9.6,9.7,9.8,9.2,9.2,8.6,8.6,8.5
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Marshall Islands,MHL,38.152,37.834,37.611,37.593,37.417,37.188,36.551,35.59,34.331,32.793,30.935,29.216,27.707,26.395,25.695,25.164,24.72,24.391,24.066,23.736,23.439,23.176
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Mauritania,MRT,37.914,37.983,37.855,37.912,38.273,38.436,38.762,39.041,39.074,39.005,38.939,38.941,38.74,38.509,38.127,37.778,37.402,37.046,36.621,36.211,35.735,35.342
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Mauritius,MUS,17,16.5,16.6,15.9,15.7,15.3,14.3,13.7,13.2,12.3,12,11.7,11.5,10.9,10.6,10.1,10.4,10.7,10.2,10.2,10.6,10.3
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Mexico,MEX,24.192,23.779,23.379,22.832,22.369,21.912,21.482,21.11,20.82,20.567,20.331,20.095,19.855,19.557,18.959,18.227,17.69,17.214,17.037,16.877,16.565,16.353
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Micronesia, Fed. Sts.",FSM,32.151,31.445,30.474,29.593,28.966,28.391,27.762,27.095,26.413,25.821,25.211,24.742,24.37,24.03,23.781,23.573,23.352,23.169,23.056,22.891,22.693,22.686
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Moldova,MDA,11.708,11.68,11.683,12.166,12.984,13.119,13.298,13.691,14.256,14.951,14.785,14.264,14.251,13.795,15.295,15.227,14.88,13.762,13.275,12.637,12.077,11.521
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Monaco,MCO,12.23,12.561,11.341,10.612,10.855,10.735,11.072,11.483,12.176,11.821,11.328,10.209,10.28,10.131,10.684,10.585,10.757,10.001,10.194,9.965,9.746,8.689
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Mongolia,MNG,20.794,20.257,19.424,18.648,18.398,18.566,19.96,21.889,23.899,24.816,23.1,25.1,26,27.5,28,27.1,25.9,23.9,24.5,24.4,23.4,21.6
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Montenegro,MNE,15.2,14.6,13.9,13.6,12.8,12,12.3,12.7,13.4,14,12,11.6,12,12,12.1,11.8,12.1,11.9,11.6,11.5,11.3,11.3
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Morocco,MAR,22.689,22.087,21.6,21.589,21.686,21.818,21.858,21.922,21.859,21.913,21.871,21.506,20.978,20.341,19.787,19.488,19.224,18.918,18.573,18.258,17.85,17.458
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Mozambique,MOZ,43.583,43.073,42.473,41.971,41.638,41.356,41.117,41.268,42.277,42.908,42.806,42.454,42.019,41.554,40.792,40.426,40.093,39.755,39.448,39.117,38.736,38.403
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Myanmar,MMR,23.164,23.06,22.892,22.252,21.531,20.966,20.599,20.373,19.993,19.681,19.365,19.086,18.819,18.684,18.551,18.608,18.561,18.341,18.054,17.774,17.456,17.201
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Namibia,NAM,31.612,30.481,29.636,29.028,28.918,29.316,29.734,29.979,30.265,30.616,31.006,31.142,31.352,31.177,31.011,30.668,30.31,29.652,29.067,28.386,27.687,27.022
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Nauru,NRU,28.238,27.945,27.752,27.884,28.1,28.451,29.076,30.408,32.27,34.272,36.097,36.803,36.144,35.342,34.687,34.223,33.578,32.241,30.66,29.581,28.662,27.787
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Nepal,NPL,30.959,29.777,28.641,27.732,26.837,25.837,24.936,24.351,23.729,23.236,22.851,22.653,22.651,22.458,22.39,22.141,21.943,21.572,21.122,20.648,20.168,19.675
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Netherlands,NLD,13,12.6,12.5,12.3,11.9,11.5,11.3,11.1,11.2,11.2,11.1,10.8,10.5,10.2,10.4,10.1,10.1,9.9,9.8,9.8,9.7,10.2
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,New Caledonia,NCL,21.201,20.304,19.529,18.705,18.372,18.105,18.028,17.636,17.345,17.013,16.774,16.834,16.788,16.442,16.031,15.735,15.672,15.327,15.228,15.183,14.903,14.747
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,New Zealand,NZL,14.66,14.36,13.67,13.94,14.2,13.96,14.14,15.15,15.1,14.53,14.68,14,13.87,13.2,12.67,13.23,12.6,12.38,11.84,11.96,11.32,11.48
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Nicaragua,NIC,27.885,27.034,26.28,25.925,25.675,25.611,25.428,25.176,24.893,24.611,24.345,23.959,23.615,23.203,22.836,22.449,22.06,21.647,21.209,20.808,20.45,20.044
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Niger,NER,53.39,53.015,52.581,52.178,51.776,51.417,50.967,50.594,50.172,49.8,49.353,48.823,48.217,47.796,47.2,46.577,45.881,45.057,44.181,43.366,42.6,41.932
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Nigeria,NGA,43.892,43.934,43.822,43.71,43.474,43.37,43.172,42.897,42.803,42.497,42.139,41.793,41.116,40.441,39.892,38.951,37.771,36.693,35.69,34.685,33.732,33.546
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,North Macedonia,MKD,14.5,13.3,13.7,13.3,11.5,11,11.1,11.1,11.2,11.5,11.8,11.1,11.4,11.2,11.4,11.1,11.0987266524808,10.5,10.3,9.6,9.2,10.2
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Northern Mariana Islands,MNP,21.957,23.055,21.196,22.594,22.887,22.96,24.494,24.231,22.747,20.624,20.67,21.409,21.778,22.776,21.455,19.791,18.374,17.324,16.559,16.029,15.487,14.824
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Norway,NOR,13.2,12.6,12.2,12.4,12.4,12.3,12.6,12.4,12.7,12.8,12.6,12.2,12,11.6,11.5,11.3,11.2,10.7,10.4,10.2,9.8,10.4
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Oman,OMN,23.841,23.255,22.832,22.485,21.785,20.933,20.211,19.909,20.571,21.921,23.352,21.582,20.686,20.947,21.166,20.992,20.544,20.155,19.269,18.858,18.856,18.337
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Pakistan,PAK,36.541,35.71,34.883,34.295,33.21,32.887,33.162,33.262,33.583,33.609,33.525,33.045,32.48,31.902,31.303,30.697,29.956,29.738,29.343,28.986,28.625,28.384
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Palau,PLW,14.377,14.479,14.458,14.291,14.027,13.94,13.81,13.741,13.676,13.649,13.65,13.8,13.99,14.024,13.362,12.582,12.741,12.437,12.004,11.921,11.624,11.377
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Panama,PAN,23.51,23.22,22.917,22.65,22.548,22.1,21.784,21.591,21.426,21.177,20.984,20.98,20.732,20.42,20.147,19.839,19.495,19.081,18.52,17.57,16.718,16.401
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Papua New Guinea,PNG,34.423,34.214,33.983,33.675,33.206,32.813,32.362,31.921,31.549,31.074,30.734,30.304,29.802,29.354,28.899,28.375,27.865,27.361,26.956,26.466,26.092,25.582
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Paraguay,PRY,26.885,25.933,25.109,24.412,24.089,23.72,23.301,23.019,22.989,22.907,22.544,22.483,22.559,22.474,22.635,22.662,22.487,22.166,21.836,21.421,21.036,20.689
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Peru,PER,23.836,23.028,22.599,22.33,22.392,22.089,21.821,21.446,20.908,20.444,19.884,19.75,19.21,18.82,18.366,17.948,17.565,17.254,16.93,16.853,16.61,16.398
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Philippines,PHL,29.285,29.145,28.534,28.101,27.629,27.154,27.419,27,27.12,26.987,26.564,26.007,25.22,24.56,23.404,22.933,21.76,20.571,19.418,18.104,17.017,16.108
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Poland,POL,9.9,9.6,9.3,9.2,9.3,9.5,9.8,10.2,10.9,10.9,10.9,10.2,10.1,9.7,9.9,9.7,10.1,10.6,10.2,9.9,9.5,9
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Portugal,PRT,11.7,10.9,11,10.8,10.4,10.4,10,9.7,9.9,9.4,9.6,9.2,8.5,7.9,7.9,8.2,8.4,8.3,8.4,8.4,8.1,7.6
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Puerto Rico (US),PRI,15.59,14.59,13.7,13.1,13.16,12.96,12.41,11.86,11.79,11.72,11.3,11.1,10.6,10.1,9.7,9,8.3,7.3,6.7,6.4,6,5.9
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Qatar,QAT,17.318,17.59,17.352,16.921,16.259,15.436,11.972,10.783,11.226,10.98,11.223,11.33,11.397,11.367,11.131,10.596,9.969,10.031,9.921,9.979,10.046,9.555
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Romania,ROU,10.4,10,9.7,9.8,10.1,10.4,10.4,10.3,10.8,10.9,10.5,9.7,10,9.4,10,10.2,10.4,10.8,10.4,10.3,10.3,10.1
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Russian Federation,RUS,8.7,9,9.7,10.2,10.4,10.2,10.3,11.3,12,12.3,12.5,12.6,13.3,13.2,13.3,13.3,12.9,11.5,10.9,10.1,9.8,9.6
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Rwanda,RWA,42.112,42.113,41.784,41.402,41.145,40.638,39.861,38.833,37.643,36.315,35.149,33.8,32.852,32.409,32.24,32.098,31.971,31.666,31.231,30.672,30.021,29.389
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Samoa,WSM,32.057,31.254,30.558,30.172,29.774,29.522,29.326,29.329,29.769,30.135,30.537,30.785,30.69,30.533,30.248,29.816,29.279,28.795,28.488,27.957,27.453,26.891
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,San Marino,SMR,12.004,12.82,11.935,10.661,10.4,9.5,10,9.4,11,10.7,10.3,10,8.7,9.7,9.1,8.2,7.9,6.7,6.8,6.7,6.4,6.2
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Sao Tome and Principe,STP,39.748,39.965,39.841,39.551,39.206,38.979,38.851,38.915,38.468,37.892,37.323,36.847,36.364,35.361,34.27,33.025,31.691,30.564,29.804,29.229,28.643,28.518
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Saudi Arabia,SAU,27.49,25.528,23.767,22.302,21.274,21.062,21.35,21.73,21.314,20.802,20.127,20.324,20.387,19.712,19.822,19.405,19.553,19.824,19.739,18.075,16.628,15.902
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Senegal,SEN,39.3,38.858,38.624,38.675,38.381,37.984,37.583,37.272,37.344,37.29,37.254,37.391,37.536,36.748,35.48,34.505,33.828,32.801,31.596,30.405,29.931,29.71
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Serbia,SRB,9.8,10.5,10.4,10.6,10.5,9.7,9.58,9.22,9.4,9.6,9.4,9.1,9.3,9.2,9.3,9.3,9.2,9.2,9.2,9.3,8.9,9.1
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Seychelles,SYC,18.6,17.7,17.7,18.1,17.4,18.5,17.3,17.6,17.8,18.1,16.8,18.6,18.6,17.4,17,17,17.4,17.2,17.1,16.4,15.8,16.8
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Sierra Leone,SLE,45.045,44.013,44.281,43.473,42.465,41.97,41.807,41.058,40.589,39.853,39.115,38.518,37.775,36.6,35.62,34.658,34.194,33.808,33.34,32.808,32.196,31.644
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Singapore,SGP,13.7,11.8,11.4,10.5,10.3,10.2,10.3,10.3,10.2,9.9,9.3,9.5,10.1,9.3,9.8,9.7,9.4,8.9,8.8,8.8,8.5,8.6
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Sint Maarten (Dutch part),SXM,17.552,16.315,15.176,14.29,13.698,13.505,13.688,12.112,13.124,12.844,13.666,14.445,14.085,13.544,12.925,12.247,11.523,10.919,10.456,10.024,9.745,9.47
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Slovak Republic,SVK,10.2,9.5,9.5,9.6,10,10.1,10,10.1,10.7,11.4,11.2,11.3,10.3,10.1,10.2,10.3,10.6,10.7,10.6,10.5,10.4,10.4
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Slovenia,SVN,9.1,8.8,8.8,8.7,9,9.1,9.4,9.8,10.8,10.7,10.9,10.7,10.7,10.2,10.3,10,9.9,9.8,9.4,9.3,8.9,9
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Solomon Islands,SLB,35.445,35.116,34.841,34.612,34.288,34.027,33.993,33.944,33.847,33.678,33.203,32.962,32.734,32.486,32.554,31.895,31.137,30.083,29.147,28.413,27.966,27.699
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Somalia, Fed. Rep.",SOM,50.443,50.374,50.373,50.123,49.904,49.615,49.391,48.908,48.763,48.426,48.062,48.58,48.159,47.744,47.457,47.171,46.561,46.155,45.67,45.139,44.544,44.094
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,South Africa,ZAF,21.567,21.266,20.928,21.388,22.136,22.718,23.144,23.088,24.33,22.779,22.178,22.075,22.118,21.894,21.784,21.007,20.27,20.038,19.85,19.694,19.522,19.354
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,South Sudan,SSD,49.816,48.921,48.029,46.77,45.513,44.3,43.183,42.307,41.624,41.025,39.878,39.791,39.141,38.295,38.191,35.407,35.052,32.802,29.068,29.421,29.441,29.693
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Spain,ESP,9.8,9.9,10.1,10.4,10.6,10.6,10.8,10.9,11.3,10.6,10.4,10.1,9.7,9.1,9.2,9,8.8,8.4,7.9,7.6,7.2,7.1
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Sri Lanka,LKA,18.402,18.95,19.172,19.093,18.826,18.716,18.852,18.81,18.204,17.628,17.147,17.091,17.148,17.028,16.522,16.022,15.651,15.371,15.15,14.6,13.8,12.9
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,St. Kitts and Nevis,KNA,17.721,17.282,16.939,16.752,16.511,16.324,16.131,15.896,15.58,15.281,14.947,14.695,14.446,14.142,13.958,13.737,13.615,13.376,13.108,12.86,12.575,12.272
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,St. Lucia,LCA,18.83,18.034,17.328,16.622,16.028,15.632,15.302,14.773,14.55,14.599,13.789,12.394,12.448,12.493,12.394,12.308,12.209,12.1,11.979,11.853,11.713,11.572
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,St. Martin (French part),MAF,25.955,25.597,25.135,24.553,23.849,23.141,22.291,21.392,20.483,19.585,18.976,19.064,21.642,20.986,20.638,20.015,19.47,19.175,19.421,18.955,17.602,17.544
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,St. Vincent and the Grenadines,VCT,19.18,18.91,18.236,17.622,17.113,16.883,16.483,16.589,17.126,17.181,16.783,16.093,16.2,16.021,16.119,15.888,15.141,14.13,13.678,13.26,12.835,12.638
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Sudan,SDN,40.836,40.65,40.439,40.206,39.967,39.612,39.187,38.871,38.392,38.084,37.987,37.317,36.59,36.015,35.491,35.683,35.412,35.023,35.074,34.909,34.48,33.913
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Suriname,SUR,25.518,25.357,24.254,23.021,22.053,21.701,21.673,21.569,21.338,21.053,20.718,20.423,20.332,20.123,19.859,19.479,18.942,18.448,18.092,17.869,17.692,17.577
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Sweden,SWE,10.2,10.3,10.7,11.1,11.2,11.2,11.7,11.7,11.9,12,12.3,11.8,11.9,11.8,11.9,11.7,11.8,11.5,11.4,11.1,10.9,11
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Switzerland,CHE,10.9,10,9.9,9.8,9.9,9.8,9.8,9.9,10,10.1,10.3,10.2,10.3,10.2,10.4,10.5,10.5,10.3,10.3,10,9.9,10.3
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Syrian Arab Republic,SYR,31.204,30.744,30.133,29.577,29.117,28.828,28.273,29.074,30.464,29.249,28.673,28.11,27.722,26.868,23.784,21.298,19.619,19.585,18.932,19.717,20.64,21.172
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Tajikistan,TJK,29.109,29.267,29.183,28.951,29.889,29.27,29.227,29.927,30.57,31.411,31.984,32.205,32.012,32.145,32.233,31.994,30.941,29.65,29.459,29.168,28.361,27.744
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Tanzania,TZA,41.528,41.398,41.171,41.335,41.527,41.465,40.973,40.168,39.579,39.162,38.756,38.108,38.102,38.408,38.355,37.622,37.632,37.611,37.335,36.883,36.437,36.015
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Thailand,THA,15.027,14.665,14.335,14.053,13.82,13.488,13.208,12.926,12.525,12.188,12.009,11.943,11.758,11.367,10.95,10.594,10.111,9.765,9.4,9.056,8.792,8.544
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Timor-Leste,TLS,38.642,38.039,37.998,38.365,37.526,36.236,35.061,34.046,33.097,32.25,31.488,30.679,29.794,28.962,28.055,27.06,26.15,25.251,24.481,23.855,23.352,22.73
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Togo,TGO,37.948,37.903,37.776,37.528,37.14,37.434,37.661,38.005,37.953,38.043,37.91,37.105,36.144,35.414,34.996,34.669,34.409,33.923,33.413,32.925,32.454,32.015
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Tonga,TON,29.396,29.364,29.549,29.887,29.997,30.013,29.519,29.038,28.717,28.398,28.008,27.656,27.277,26.866,26.391,25.834,25.229,24.514,24.144,23.849,23.634,23.507
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Trinidad and Tobago,TTO,14.869,14.731,14.528,14.407,14.286,14.33,14.39,14.372,14.287,14.221,14.087,13.928,13.749,13.51,13.289,13.031,12.804,12.491,12.06,12.088,11.647,11.291
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Tunisia,TUN,16.549,16.227,16.036,16.249,16.333,16.496,16.612,16.769,17.008,17.303,17.94,18.892,19.58,19.755,19.658,19.415,18.954,18.168,17.344,16.82,15.787,13.999
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Turkiye,TUR,21.42,20.593,19.531,18.949,18.857,18.794,18.686,18.4,18.2,17.6,17.2,16.9,17.2,17,17.5,17.1,16.6,16.2,15.4,14.4,13.4,12.9
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Turkmenistan,TKM,23.717,23.207,22.582,22.445,22.76,23.264,23.663,24.038,24.442,25.055,25.713,26.298,26.876,27.351,27.466,27.466,26.941,26.272,25.502,24.839,24.12,23.348
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Turks and Caicos Islands,TCA,22.632,21.896,20.631,19.616,18.882,18.287,17.721,17.155,16.434,15.671,14.898,14.192,13.443,13.001,12.905,12.665,12.785,12.692,12.511,12.066,11.671,11.198
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Tuvalu,TUV,26.641,25.597,24.464,23.632,23.09,22.746,22.438,21.859,21.685,21.876,22.175,22.54,22.887,22.831,22.975,23.339,23.76,24.284,24.927,24.867,24.632,24.35
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Uganda,UGA,48.247,47.915,47.446,46.962,46.508,45.833,45.184,44.524,43.784,43.381,42.889,42.22,41.419,40.551,39.714,39.007,38.279,37.944,37.673,37.212,36.803,36.342
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Ukraine,UKR,7.823,7.779,8.113,8.546,8.959,9.12,9.787,10.202,11.014,11.201,10.915,11.054,11.419,11.172,10.632,9.802,9.614,8.779,8.125,7.823,7.555,6.977
