Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bhutan,BTN,25.18,23.865,22.657,21.706,21.261,21.114,20.971,20.795,20.293,19.641,18.901,18.224,17.589,17.065,16.422,15.656,14.81,13.759,12.941,12.421,12.952,12.892
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bolivia,BOL,29.846,29.12,28.53,28.135,27.689,27.332,27.342,26.874,26.441,26.017,25.619,25.221,24.83,24.437,24.041,23.653,23.272,22.911,22.574,22.257,21.996,21.808
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bosnia and Herzegovina,BIH,10.231,9.977,10.11,10.068,10.125,9.81,9.551,9.555,9.533,9.761,9.464,8.865,8.87,8.735,8.399,8.515,8.482,8.568,8.803,8.561,8.353,8.011
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Botswana,BWA,27.936,27.907,27.647,27.393,27.309,27.706,28.141,28.335,28.396,28.396,28.365,28.038,27.742,27.183,26.795,26.475,26.254,26.073,25.897,25.751,25.532,25.422
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Brazil,BRA,19.879,19.185,18.49,17.819,17.5,17.176,16.691,16.243,15.801,15.564,15.338,15.141,14.935,14.785,14.784,14.684,14.146,14.123,14.022,13.548,12.995,12.754
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,British Virgin Islands,VGB,14.539,11.724,9.746,10.472,12.245,11.138,10.389,11.059,10.7,10.273,9.93,9.929,9.322,9.313,10.821,10.234,9.545,6.925,6.982,8.071,8.174,8.397
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Brunei Darussalam,BRN,19.803,19.298,18.685,18.036,17.365,16.713,16.262,15.943,16.015,16.241,16.577,16.966,17.096,16.913,16.627,16.239,15.785,15.334,14.924,14.572,14.284,14.06
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bulgaria,BGR,9,8.5,8.5,8.7,9.1,9.3,9.7,10,10.4,10.9,10.2,9.6,9.5,9.3,9.6,9.4,9.4,9.4,9.3,9.3,9,9
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Burkina Faso,BFA,45.239,44.907,44.483,44.491,44.124,44.058,44.381,44.191,43.923,43.511,43.2,42.76,42.28,41.703,40.862,40.043,38.925,37.727,36.006,34.325,32.738,32.416
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Burundi,BDI,42.726,43.035,44.042,44.528,45.29,46.154,46.575,46.726,46.656,46.489,46.963,45.978,44.758,43.899,42.901,42.257,40.096,38.618,37.215,36.579,35.855,35.06
