Series Name,Series Code,Country Name,Country Code,1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Afghanistan,AFG,9.15800952911377,9.74174976348877,11.9397897720337,..,..,..,..,..,0,..,6.96920013427734,6.38919019699097,9.67969036102295,15.3283004760742,15.3513603210449,22.7884502410889,28.3175792694092,33.0262413024902,36.9816284179688,38.5514297485352,38.722900390625,38.5330581665039,37.8227882385254,38.5832786560059,39.937858581543,41.3507118225098,..,..,..,..,..,..,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,77.1257705688477,80.9782333374023,82.5476684570312,84.5937118530273,85.9438629150391,88.4567413330078,91.1922378540039,92.2981491088867,94.2191162109375,99.1101650982234,98.9064599746518,99.0993228142471,96.6560853943559,94.9233468518998,95.8495450622985,95.5375027821055,92.2998271538817,94.3556604734894,93.2280956589459,92.6682931237011,106.71573638916,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Algeria,DZA,55.0188102722168,56.4261207580566,56.4274291992188,56.6330184936523,58.4086608886719,..,66.390380859375,67.3292007446289,72.1403121948242,76.0977172851562,79.9414901733398,84.5551605224609,87.1950912475586,88.9450912475586,77.9382171630859,83.4692001342773,99.0396575927734,104.490663909822,106.780606139925,..,..,..,..,..,..,..,..,..,..,106.153022766113,103.220718383789,106.533807793893,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Andorra,AND,..,..,..,..,..,..,..,..,..,86.0109329223633,85.6380081176758,81.919189453125,89.476188659668,87.2272720336914,86.0921096801758,87.1264419555664,86.3205413818359,89.5385971069336,87.3739624023438,88.5964889526367,87.8670120239258,89.3149490356445,90.8539199829102,95.5604400634766,95.4148483276367,97.8036804199219,96.3111114501953,96.9991226196289,98.0232086181641,98.0160369873047,99.4687423706055,101.475868225098,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Angola,AGO,..,..,..,..,..,10.49534034729,10.1982202529907,12.1040000915527,13.2332096099853,14.7315998077393,..,..,..,..,..,19.9174499511719,21.1587905883789,22.98756980896,22.3924407958984,..,..,..,..,42.9851256990708,..,..,..,..,49.4286274279557,..,48.1175394651696,..,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,78.4783935546875,..,..,..,..,..,..,112.965049743652,121.629211425781,120.998901367188,117.978141784668,116.915008544922,126.204559326172,..,115.915657043457,119.018043518066,..,115.81339263916,119.61092376709,..,..,..,107.737361282367,109.004008633981,..,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Argentina,ARG,..,..,..,83.1443328857422,78.3473968505859,83.4612808227539,96.1732482910156,99.8094177246094,101.411613464355,100.75479888916,100.139373779297,100.194129943848,98.7863388061523,98.0361328125,98.1988677978516,99.5787734985352,102.57689666748,104.500671386719,106.733993530273,107.975830078125,109.241096496582,110.363609313965,111.491546630859,112.874443054199,113.530090332031,112.869537353516,113.60587310791,115.878791809082,119.181510925293,117.566009521484,107.980730920017,..,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Armenia,ARM,..,..,..,..,..,..,..,88.5902481079102,..,..,..,..,..,..,94.7361068725586,93.9530563354492,99.4727630615234,104.280326843262,92.7371215820312,..,86.4559326171875,86.6189804077148,86.1423797607422,..,..,82.6929233518222,86.6098941525282,87.5163440721926,89.5961159583451,90.1215425051106,88.2232017685754,90.1346954711088,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Aruba,ABW,..,..,..,..,..,..,..,..,98.6474304199219,102.293441772461,104.977783203125,101.585006713867,100.781471252441,100.671501159668,108.43962097168,100.322486877441,100.752082824707,100.190170288086,98.8285369873047,109.055122375488,..,..,..,..,..,144.720138549805,145.138092041016,143.255950927734,134.622039794922,137.287643432617,..,128.74852420307,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,147.584396362305,144.401290893555,144.534530639648,132.354217529297,139.616836547852,135.490798950195,133.347183227539,130.563079833984,131.09733581543,..,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Austria,AUT,..,..,..,..,..,..,..,96.3779373168945,96.7734069824219,96.4945831298828,96.9213027954102,96.5513229370117,97.7880630493164,98.4202194213867,98.1064224243164,98.0029373168945,98.306266784668,98.2814788818359,97.5853881835938,98.1663970947266,99.4306716918945,99.4170379638672,99.7147521972656,99.1238174438477,98.8336181640625,98.9431686401367,100.049346923828,100.287178039551,101.08470916748,100.453628540039,99.5390701293945,..,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,108.65273695473,107.552111988747,90.4353484324383,90.4878029868337,88.7876201854696,90.9502304680864,89.60752233538,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,"Bahamas, The",BHS,97.2070693969727,..,92.2899475097656,..,100.32608795166,..,83.4962463378906,..,..,96.3615798950195,..,85.6807098388672,86.6847763061523,87.0278396606445,90.9297103881836,90.2368698120117,89.9711837768555,93.3393819715002,90.580026166594,95.0642702131211,87.4039501394502,93.3709696193691,77.0907578997387,86.5407818532819,94.6372239747634,84.2835504392608,80,..,74.0372670807453,..,95.1823072325164,80.9443303948798,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Bahrain,BHR,99.7564468383789,98.9329376220703,97.096549987793,96.8153305053711,95.7937088012695,96.6705703735352,96.4519577026367,99.2775497436523,101.788238525391,96.4201431274414,91.6311111450195,89.1966781616211,88.6157684326172,88.737678527832,..,91.3427200317383,92.0312271118164,92.0959724996516,94.5355703439872,99.2605924989055,107.770879230923,104.944132738695,100.792652804599,100.962353094519,101.66381888082,100.906915228618,101.991173149954,..,..,106.466008925534,101.916572717024,97.5734472078148,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Bangladesh,BGD,..,..,..,..,..,40.3776588439941,44.5714988708496,47.110969543457,50.0232887268066,51.7350006103516,51.6876182556152,46.7358283996582,46.4920997619629,46.8596611022949,47.5436897277832,47.0520896911621,49.7001609802246,52.0766891151976,52.972846971647,54.6677284240723,57.4183984304764,..,62.5832710266113,66.9120125277375,66.8206080291299,69.0192069270982,68.6082490748818,71.128750711381,75.089641669915,72.2731144156835,71.5461976300242,70.4720309842244,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Barbados,BRB,..,..,..,..,..,..,111.795028686523,108.796867370605,107.765472412109,107.324180603027,107.501808166504,108.083801269531,107.802139282227,108.45157623291,109.797866821289,111.353240966797,110.057472229004,106.974426269531,108.517181396484,..,..,109.352897644043,109.521759033203,109.759788513184,110.261192321777,108.398483276367,106.941482543945,105.184692382812,104.736427307129,106.201553344727,104.055282592773,106.336565096953,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Belarus,BLR,..,..,..,..,..,86.4216690063477,..,..,..,..,..,..,..,..,..,113.924789428711,111.873641967773,109.212499250285,107.11359577607,105.727632878972,103.164486990226,102.551671847254,102.211121335612,102.01233919664,101.583542654067,100.837960983045,99.9048197524061,99.9308910788603,99.8514568766293,97.7828329479802,97.184372562362,95.0767756373877,..
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Belgium,BEL,..,..,..,..,..,..,..,154.356338500977,164.421981811523,166.829498291016,166.853012084961,158.973358154297,166.336334228516,168.262008666992,169.791259765625,171.841247558594,171.172912597656,171.341003417969,170.005645751953,171.274078369141,172.689697265625,172.866333007812,174.837173461914,170.400466918945,168.216491699219,165.985092163086,166.064483642578,160.896133422852,150.585006713867,151.826583862305,152.577819824219,..,..
