Series Name,Series Code,Country Name,Country Code,1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
"Labor force, total",SL.TLF.TOTL.IN,Bhutan,BTN,232244,239059,247167,256106,265537,275468,285884,296828,307038,315480,323188,330817,338169,337478,340377,331207,341708,333159,341579,346258,351309,356713,384922,400199,414321,384122,401407,406288,411263
"Labor force, total",SL.TLF.TOTL.IN,Bolivia,BOL,3529691,3599373,3669870,3741182,3814211,3888572,3965089,4045470,4128982,4215393,4303228,4391217,4479358,4567789,4656895,4745827,4834468,4923587,5012447,5100033,5298716,5649910,5946418,5890135,6426918,6569575,6704214,6827098,6980187
"Labor force, total",SL.TLF.TOTL.IN,Bosnia and Herzegovina,BIH,1665533,1706529,1737464,1760409,1779186,1792171,1792383,1779371,1760240,1749717,1732512,1707270,1678662,1646045,1611361,1578701,1549763,1526206,1503962,1480171,1457512,1434054,1409096,1353715,1339593,1355798,1366194,1354967,1340707
"Labor force, total",SL.TLF.TOTL.IN,Botswana,BWA,564216,581158,593811,605662,627315,647894,667858,688033,708319,728696,758634,789289,820510,802345,828613,849151,865462,882070,899557,918682,939892,962977,987878,973488,1036012,1065472,1146757,1173288,1199393
"Labor force, total",SL.TLF.TOTL.IN,Brazil,BRA,73815138,75725311,78290799,80295093,82302317,85201661,86792831,89058034,91599988,92726865,93712199,95054971,96857149,96467543,95987652,96690220,97945820,98900006,100587656,101885554,103476109,104554923,106262669,100001874,104085430,106610573,106356432,107871864,108318282
"Labor force, total",SL.TLF.TOTL.IN,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,Brunei Darussalam,BRN,140730,145533,150477,155602,160781,165377,169865,174224,178441,182482,185717,188400,191439,194946,198704,202249,205548,208771,211934,215000,218025,225919,223877,224330,227037,230003,234630,236334,237763
"Labor force, total",SL.TLF.TOTL.IN,Bulgaria,BGR,3450756,3432014,3458070,3441466,3494894,3404016,3340007,3379275,3314525,3421452,3500732,3562863,3489069,3424396,3339707,3358087,3333973,3290417,3259536,3159813,3235284,3181267,3209606,3132138,3082471,3134677,3134615,3100224,3073503
"Labor force, total",SL.TLF.TOTL.IN,Burkina Faso,BFA,4779014,4913899,5068035,5231474,5404652,5585808,5771423,5960801,6152177,6339851,6517021,6684501,6852468,7026133,7209651,7407953,7612290,7823803,8047980,8284194,8529005,8776683,9029420,9036235,9191515,9286105,9442280,9601936,9914873
"Labor force, total",SL.TLF.TOTL.IN,Burundi,BDI,2586586,2636111,2711621,2766896,2838292,2918476,3009287,3123186,3227287,3316162,3458975,3627058,3843653,4037123,4169441,4302379,4439368,4568956,4650400,4696640,4797040,4958957,5145487,5256681,5484419,5691432,5893737,6097715,6308213
"Labor force, total",SL.TLF.TOTL.IN,Cabo Verde,CPV,143859,146938,150159,153739,157762,161946,166090,170161,174138,178016,181799,185468,188994,204374,207854,210577,212810,214593,215930,216787,217299,204314,211472,196815,201583,216497,219684,222880,226448
"Labor force, total",SL.TLF.TOTL.IN,Cambodia,KHM,5085513,5386770,5565808,5758610,5954751,6150602,6346615,6561970,6779458,7006763,7242199,7248715,7740705,8200397,8456181,8380559,8249987,8400442,8465622,8833454,8936644,9127738,9329147,9480039,9341945,9850128,10027889,10200782,10367640
"Labor force, total",SL.TLF.TOTL.IN,Cameroon,CMR,6164040,6351361,6540493,6732947,6932629,7143935,7362216,7583440,7807548,8035172,8274850,8349018,8404820,8440780,8576769,8709448,8842713,9008472,9206366,9380946,9535157,9687110,9850728,9926685,10140896,10499324,10831875,11175287,11466010
